"Statistic Label","CensusYear","Sex","Single Year of Age","Administrative Counties","UNIT","VALUE"
"Population","2022","Both sexes","All ages","Ireland","Number","5149139"
"Population","2022","Both sexes","All ages","Carlow County Council","Number","61968"
"Population","2022","Both sexes","All ages","Dublin City Council","Number","592713"
"Population","2022","Both sexes","All ages","Dún Laoghaire Rathdown County Council","Number","233860"
"Population","2022","Both sexes","All ages","Fingal County Council","Number","330506"
"Population","2022","Both sexes","All ages","South Dublin County Council","Number","301075"
"Population","2022","Both sexes","All ages","Kildare County Council","Number","247774"
"Population","2022","Both sexes","All ages","Kilkenny County Council","Number","104160"
"Population","2022","Both sexes","All ages","Laois County Council","Number","91877"
"Population","2022","Both sexes","All ages","Longford County Council","Number","46751"
"Population","2022","Both sexes","All ages","Louth County Council","Number","139703"
"Population","2022","Both sexes","All ages","Meath County Council","Number","220826"
"Population","2022","Both sexes","All ages","Offaly County Council","Number","83150"
"Population","2022","Both sexes","All ages","Westmeath County Council","Number","96221"
"Population","2022","Both sexes","All ages","Wexford County Council","Number","163919"
"Population","2022","Both sexes","All ages","Wicklow County Council","Number","155851"
"Population","2022","Both sexes","All ages","Clare County Council","Number","127938"
"Population","2022","Both sexes","All ages","Cork City Council","Number","224004"
"Population","2022","Both sexes","All ages","Cork County Council","Number","360152"
"Population","2022","Both sexes","All ages","Kerry County Council","Number","156458"
"Population","2022","Both sexes","All ages","Limerick City & County Council","Number","209536"
"Population","2022","Both sexes","All ages","Tipperary County Council","Number","167895"
"Population","2022","Both sexes","All ages","Waterford City & County Council","Number","127363"
"Population","2022","Both sexes","All ages","Galway City Council","Number","84414"
"Population","2022","Both sexes","All ages","Galway County Council","Number","193323"
"Population","2022","Both sexes","All ages","Leitrim County Council","Number","35199"
"Population","2022","Both sexes","All ages","Mayo  County Council","Number","137970"
"Population","2022","Both sexes","All ages","Roscommon County Council","Number","70259"
"Population","2022","Both sexes","All ages","Sligo County Council","Number","70198"
"Population","2022","Both sexes","All ages","Cavan County Council","Number","81704"
"Population","2022","Both sexes","All ages","Donegal County Council","Number","167084"
"Population","2022","Both sexes","All ages","Monaghan County Council","Number","65288"
